record no,CRUISE_ID,DATE_UTC,TIME_UTC,DATE_LOCAL,TIME_LOCAL,LATITUDE_DEG,LONGITUDE_DEG,LATITUDE_DEC,LONGITUDE_DEC,STATION_NO,NISKIN_NO,NISKIN_NO_FLAG_W,CTDPRS_DBAR,DEPTH (M),CTDTMP_DEG_C_ITS90,CTDTMP2_DEC_C_ITS90,CTDTMP_FLAG_W,CTD/TEMP_COMMENTS,CTDSAL_PSS78,CTDSAL2_PSS78,CTDSAL_FLAG_W,CTD/SAL_COMMENTS,SIGMATHETA_KG_M3,SIGMATHETA2_KG_M3,CTDOXY_MG_L_1,CTDOXY_MG_L_2,CTDOXY_MG_L_AVG,CTDOXY_FLAG_W,CTD/O2_COMMENTS,OXYGEN_MG_L_1,OXYGEN_MG_L_2,OXYGEN_MG_L_3,OXYGEN_avg_mg_L,OXYGEN_UMOL_KG,OXYGEN_FLAG_W,OXYGEN COMMENTS,CTD_PH_NBS,SALINITY_PSS78_1,SALINITY_PSS78_2,SALINITY_FLAG_W,Nutrient lab temperature,NITRATE_UMOL_L,NITRITE_UMOL_L,AMMONIUM_UMOL_L,PHOSPHATE_UMOL_L,SILICATE_UMOL_L,NUTRIENTS_FLAG_W,CTD FLU (mg/m3),CHLA (ug/l),CHLA 2 (ug/l),CHLA avg (ug/l),CHLA_FLAG_W,PHAEOPIGMENT (ug/l),PHAEOPIGMENT 2 (ug/l),PHAEOPIGMENT avg (ug/l),PHAEOPIGMENT_FLAG_W,TA_UMOL_KG,TA_FLAG_W,DIC_UMOL_KG,DIC_FLAG_W,SECCHI DEPTH (m)
1,  RBTSN2017,05/02/17, 23:27:43,05/02/17,16:38:56 , 47 57.87 N, 124 56.98 W,47.9645,124.9496667,381,1,,92.53,91.733,9.4775,,2,,33.2703,,2,,25.6892,,5.5031,,,2,,6.189079052,6.391142447,,6.290110749,191.6534611,,,,,,,,,,,,,,0.5645,,,,,,,,,2217.9,2,2119.8,2,
2,  RBTSN2017,05/02/17, 23:27:45,05/02/17,16:38:56 , 47 57.87 N, 124 56.98 W,47.9645,124.9496667,381,2,,92.415,91.619,9.4926,,2,,33.2575,,2,,25.6768,,5.6022,,,2,,6.384778172,,,6.384778172,194.540246,,,,,,,,17.7101285,0.079935671,0.227077313,1.521959269,20.77654501,,0.564,0.049372451,,0.049372451,,0.05512088,,0.05512088,,2177.1,2,2117.5,2,
3,  RBTSN2017,05/02/17, 23:30:27,05/02/17,16:38:56 , 47 57.87 N, 124 56.98 W,47.9645,124.9496667,381,3,,50.46,50.031,9.9003,,2,,32.4341,,2,,24.9663,,8.7221,,,2,,9.346626798,,,9.346626798,284.9831467,,,,,,,,2.887364861,0.324808577,0.688158592,0.633020476,5.412957797,,0.5626,0.391574611,,0.391574611,,0.165340393,,0.165340393,,2212.3,2,2008.8,2,
4,  RBTSN2017,05/02/17, 23:30:29,05/02/17,16:38:56 , 47 57.87 N, 124 56.98 W,47.9645,124.9496667,381,4,,50.236,49.808,9.9023,,2,,32.4332,,2,,24.9653,,8.7245,,,2,,9.818065637,,,9.818065637,299.357845,,,,,,,,1.102510254,0.147991899,0.747651549,0.477562512,4.821953017,,0.5627,0.420517083,,0.420517083,,0.089892649,,0.089892649,,-999,5,-999,5,
5,  RBTSN2017,05/02/17, 23:33:33,05/02/17,16:38:56 , 47 57.87 N, 124 56.98 W,47.9645,124.9496667,381,5,,1.497,1.484,10.9461,,2,,30.668,,2,,23.4137,,9.2591,,,2,,8.805932136,,,8.805932136,268.9042176,,,,,,,,0,0.022353839,0.222150419,0.164526498,3.924271223,,0.5631,0.766124239,,0.766124239,,0.12379149,,0.12379149,,2106.3,2,1910.9,2,
6,  RBTSN2017,05/02/17, 23:33:35,05/02/17,16:38:56 , 47 57.87 N, 124 56.98 W,47.9645,124.9496667,381,6,,1.343,1.332,10.9471,,2,,30.5237,,2,,23.3013,,9.266,,,2,,9.927248051,10.23066239,,10.07895522,307.811957,,,,,,,,0,0.023687843,0.419749446,0.158784786,4.206655462,,0.5624,0.524936979,,0.524936979,,0.006141763,,0.006141763,,2109.8,2,1912,2,
7,  RBTSN2017,05/03/17, 18:32:30,05/03/17,12:21:32 , 48 29.04 N, 124 47.72 W,48.484,124.7953333,120,1,,160.978,159.565,8.1598,,2,,33.7219,,2,,26.2488,,4.0303,,,2,,,,,,,,,,,,,,27.06119837,0.171385266,0.135358682,2.124536022,37.9223077,,0.5712,,,,,,,,,2250.7,2,2192,2,
8,  RBTSN2017,05/03/17, 18:32:34,05/03/17,12:21:32 , 48 29.04 N, 124 47.72 W,48.484,124.7953333,120,2,,159.967,158.563,8.1603,,2,,33.7147,,2,,26.2431,,4.0388,,,2,,4.239111719,4.374630041,,4.30687088,131.1553799,,,,,,,,26.80781334,0.17929522,0.222019782,2.109875853,38.03677409,,0.5727,,,,,,,,,2249.1,2,2190.5,2,
9,  RBTSN2017,05/03/17, 18:39:12,05/03/17,12:21:32 , 48 29.04 N, 124 47.72 W,48.484,124.7953333,120,3,,50.536,50.106,9.0392,,2,,31.9925,,2,,24.7587,,6.967,,,2,,7.553690201,,,7.553690201,230.3622934,,,,,,,,16.08023458,0.21712703,0.460651263,1.428809234,27.02971575,,0.5721,1.044198963,,1.044198963,,0.540425173,,0.540425173,,2162.1,2,2055.1,2,
10,  RBTSN2017,05/03/17, 18:39:14,05/03/17,12:21:32 , 48 29.04 N, 124 47.72 W,48.484,124.7953333,120,4,,50.076,49.65,9.0438,,2,,31.9798,,2,,24.748,,6.9976,,,2,,7.990811275,7.982124649,,7.986467962,243.5630982,,,,,,,,16.0327419,0.187157734,0.707933898,1.446201958,27.02594565,,0.5731,2.587797431,,2.587797431,,0.994831052,,0.994831052,,2143.5,2,2031.2,2,
11,  RBTSN2017,05/03/17, 18:42:20,05/03/17,12:21:32 , 48 29.04 N, 124 47.72 W,48.484,124.7953333,120,5,,1.573,1.56,10.0677,,2,,30.2977,,2,,23.2719,,9.8563,,,2,,10.55001224,,,10.55001224,322.2073272,,,,,,,,1.988381889,0.110762209,0.152523923,0.379248382,7.442287491,,0.574,12.03098806,,12.03098806,,1.461282674,,1.461282674,,2090.2,2,1899.7,2,
12,  RBTSN2017,05/03/17, 18:42:22,05/03/17,12:21:32 , 48 29.04 N, 124 47.72 W,48.484,124.7953333,120,6,,1.164,1.154,10.1406,,2,,30.2042,,2,,23.1872,,9.8558,,,2,,10.55742614,10.56147188,,10.55944901,322.5222244,,,,,,,,1.830875638,0.104668101,1.08098854,0.37337686,7.202666502,,0.5727,10.38523969,,10.38523969,,1.95875268,,1.95875268,,2087.5,2,1900.7,2,
13,  RBTSN2017,05/03/17, 21:02:15,05/03/17,14:58:13 , 48 23.49 N, 124 26.00 W,48.3915,124.4333333,123,1,,190.352,188.668,7.7812,,2,,33.8238,,2,,26.3849,,3.6334,,,2,,3.941275282,,,3.941275282,120.0055042,,,,,,,,29.46188658,0.115229825,0.172212742,2.244183702,42.24968904,,0.2062,,,,,,,,,2259.3,2,2210.4,2,
14,  RBTSN2017,05/03/17, 21:02:16,05/03/17,14:58:13 , 48 23.49 N, 124 26.00 W,48.3915,124.4333333,123,2,,189.637,187.959,7.7821,,2,,33.8236,,2,,26.3846,,3.6335,,,2,,3.818436993,3.898041646,,3.858239319,117.4772254,,,,,,,,29.45529136,0.114769186,0.089667357,2.261444957,42.27719997,,0.2062,,,,,,,,,2258.1,2,2211.7,2,
15,  RBTSN2017,05/03/17, 21:10:18,05/03/17,14:58:13 , 48 23.49 N, 124 26.00 W,48.3915,124.4333333,123,3,,50.663,50.232,8.8085,,2,,31.8666,,2,,24.6955,,6.5861,,,2,,7.10582471,,,7.10582471,216.7172528,,,,,,,,19.35997646,0.1828575,0.758870541,1.698040781,32.31521557,,0.2045,0.465349538,,0.465349538,,0.682928822,,0.682928822,,2156.8,2,2068.2,2,
16,  RBTSN2017,05/03/17, 21:10:20,05/03/17,14:58:13 , 48 23.49 N, 124 26.00 W,48.3915,124.4333333,123,4,,50.35,49.921,8.8092,,2,,31.8588,,2,,24.6892,,6.5868,,,2,,14.772007,14.76588103,,14.76894401,450.4339054,,,,,,,,0,0.026315628,0.131327223,0.144305745,1.11007452,,0.2057,35.95108931,,35.95108931,,3.233909727,,3.233909727,,-999,5,-999,5,
17,  RBTSN2017,05/03/17, 21:13:05,05/03/17,14:58:13 , 48 23.49 N, 124 26.00 W,48.3915,124.4333333,123,5,,1.448,1.435,9.8318,,2,,30.4553,,2,,23.4326,,12.3826,,,2,,14.78719644,,,14.78719644,451.5439813,,,,,,,,0,0.030451516,0.174453522,0.135727466,1.074940882,,0.2069,26.29792389,,26.29792389,,2.156413869,,2.156413869,,2098.9,2,1807.1,2,
18,  RBTSN2017,05/03/17, 21:13:07,05/03/17,14:58:13 , 48 23.49 N, 124 26.00 W,48.3915,124.4333333,123,6,,1.106,1.097,9.9082,,2,,30.4353,,2,,23.4049,,12.7041,,,2,,14.76501574,14.80406793,,14.78454183,451.4751924,,,,,,,,0,0.024527028,0.107076482,0.14247237,1.994089833,,0.2071,28.91977129,,28.91977129,,3.312402276,,3.312402276,,2097.4,2,1807.7,2,
19,  RBTSN2017,05/04/17, 00:07:44,05/03/17,17:43:37 , 48 14.84 N, 123 59.03 W,48.24733333,123.9838333,132,1,,162.573,161.145,8.1205,,2,,33.6221,,2,,26.1764,,4.0732,,,2,,5.038613047,,,5.038613047,153.4488067,,,,,,,,27.13388021,0.068503511,0.129773245,2.091513601,39.29706623,,0.0923,,,,,,,,,2246.5,2,2189.4,2,
20,  RBTSN2017,05/04/17, 00:07:45,05/03/17,17:43:37 , 48 14.84 N, 123 59.03 W,48.24733333,123.9838333,132,2,,162.041,160.619,8.12,,2,,33.6218,,2,,26.1762,,4.0711,,,2,,4.400226913,4.371991179,,4.386109046,133.5770973,,,,,,,,27.19694294,0.06460012,0.112151409,2.116329475,39.59021906,,0.0938,,,,,,,,,2247.8,2,2192.6,2,
21,  RBTSN2017,05/04/17, 00:13:54,05/03/17,17:43:37 , 48 14.84 N, 123 59.03 W,48.24733333,123.9838333,132,3,,50.706,50.274,9.0353,,2,,32.4462,,2,,25.1142,,6.5118,,,2,,7.918921219,,,7.918921219,241.4168592,,,,,,,,16.56135963,0.232807225,0.245997469,1.432078329,24.79357357,,0.0926,0.249132253,,0.249132253,,0.026454554,,0.026454554,,2181,2,2079,2,
22,  RBTSN2017,05/04/17, 00:13:56,05/03/17,17:43:37 , 48 14.84 N, 123 59.03 W,48.24733333,123.9838333,132,4,,50.286,49.858,9.0347,,2,,32.4373,,2,,25.1073,,6.5371,,,2,,10.02632327,10.73473333,,10.3805283,316.4637284,,,,,,,,12.37668785,0.217647686,0.386784084,1.196256893,23.01857216,,0.0931,0.641274363,,0.641274363,,0.024727085,,0.024727085,,-999,5,-999,5,
23,  RBTSN2017,05/04/17, 00:16:35,05/03/17,17:43:37 , 48 14.84 N, 123 59.03 W,48.24733333,123.9838333,132,5,,1.603,1.59,9.3568,,2,,31.1821,,2,,24.075,,8.7916,,,2,,10.03639034,,,10.03639034,306.280443,,,,,,,,12.31457099,0.21802279,0.369439472,1.190731644,22.59654585,,0.0933,6.35599369,,6.35599369,,0.992987814,,0.992987814,,2128.8,2,1977.2,2,
24,  RBTSN2017,05/04/17, 00:16:36,05/03/17,17:43:37 , 48 14.84 N, 123 59.03 W,48.24733333,123.9838333,132,6,,1.356,1.345,9.3929,,2,,31.1527,,2,,24.0464,,8.8463,,,2,,9.991780828,10.03257697,,10.0121789,305.5501193,,,,,,,,12.38957532,0.22696757,0.420363294,1.199091861,22.61418828,,0.0929,8.68274138,,8.68274138,,1.479522106,,1.479522106,,2127.7,2,1981.5,2,
25,  RBTSN2017,05/04/17, 03:01:10,05/03/17,20:43:07 , 48 13.44 N, 123 28.85 W,48.224,123.4808333,136,1,,129.651,128.523,8.3428,,2,,33.4104,,2,,25.9766,,4.5801,,,2,,5.001510603,,,5.001510603,152.3484572,,,,,,,,24.70683701,0.085716399,0.151846162,1.953139499,36.37659849,,0.1617,,,,,,,,,2239.6,2,2169.7,2,
26,  RBTSN2017,05/04/17, 03:01:12,05/03/17,20:43:07 , 48 13.44 N, 123 28.85 W,48.224,123.4808333,136,2,,129.479,128.353,8.3426,,2,,33.4106,,2,,25.9768,,4.5826,,,2,,4.90823086,4.893323556,,4.900777208,149.2800416,,,,,,,,24.68066656,0.081639392,0.224627394,1.965031117,36.04862944,,0.1614,,,,,,,,,2241.2,2,2169.4,2,
27,  RBTSN2017,05/04/17, 03:07:27,05/03/17,20:43:07 , 48 13.44 N, 123 28.85 W,48.224,123.4808333,136,3,,50.493,50.063,9.0183,,2,,31.2348,,2,,24.1692,,7.3087,,,2,,7.850843204,,,7.850843204,239.5622567,,,,,,,,18.63980932,0.221285506,1.158100269,1.671612762,31.8918388,,0.1607,0.629924375,,0.629924375,,0.615957646,,0.615957646,,2131.2,2,2037.8,2,
28,  RBTSN2017,05/04/17, 03:07:29,05/03/17,20:43:07 , 48 13.44 N, 123 28.85 W,48.224,123.4808333,136,4,,50.097,49.671,9.0186,,2,,31.2341,,2,,24.1686,,7.3129,,,2,,7.97417291,7.998813235,,7.986493072,243.7016461,,,,,,,,18.81892801,0.232087322,1.386171547,1.715686941,32.74045465,,0.1608,0.635599369,,0.635599369,,0.501196207,,0.501196207,,2125.4,2,2028.4,2,
29,  RBTSN2017,05/04/17, 03:10:09,05/03/17,20:43:07 , 48 13.44 N, 123 28.85 W,48.224,123.4808333,136,5,,1.591,1.577,9.1815,,2,,30.4425,,2,,23.5242,,7.8102,,,2,,8.742699795,8.732921285,,8.73781054,266.7951958,,,,,,,,18.25144775,0.265189722,1.675269785,1.690415241,33.61324522,,0.1608,0.482374521,,0.482374521,,0.149178577,,0.149178577,,2082.7,2,1984.5,2,
30,  RBTSN2017,05/04/17, 03:10:10,05/03/17,20:43:07 , 48 13.44 N, 123 28.85 W,48.224,123.4808333,136,6,,1.182,1.172,9.2432,,2,,30.3348,,2,,23.4306,,7.8554,,,2,,,,,,,,,,,,,,,,,,,,0.1613,,,,,,,,,-999,9,-999,9,
