date,bag limits,species limits
2005,10,all except for canary and yelloweye
2006,10,all except for canary and yelloweye
2007,10,all except for canary and yelloweye
2008,10,all except for canary and yelloweye
2009,10,all except for canary and yelloweye
2010,6,black and decon only
2011,6,black and decon only
2012,6,black and decon only
2013,6,black and decon only
2014,6,black and decon only
2015,6,black and decon only
2016,6,black and decon only
2017,6,black and decon only
2018,6,black and decon only
2019,6,black and decon only
2020,7,"black, decon, yellowtail and widow"
2021,7,"black, decon, yellowtail and widow"
2022,7,"black, decon, yellowtail and widow"
2023,7,"black, decon, yellowtail and widow"
2024,7,"black, decon, yellowtail and widow"
