"","spp_x","spp_y"
"Black & Deacon",0.164927565617054,-0.388052806480677
"Cabezon",-0.398151859435433,-0.203690422516608
"Canary",0.516883139151463,0.046873926255887
"China",0.0652864258679095,0.0644286122692616
"Copper",0.131330410504102,-0.0854129591294279
"Greenling",-0.0448787704368228,-0.0187232015330328
"Lingcod",0.00389727752574976,-0.322178853078377
"Quillback",0.112441899292611,-0.0238627965773545
"Tiger",-0.197936281724404,-0.464225803484631
"Widow",-1.36448537596972,-0.778716176937162
"Yellowtail",0.484525558647144,-0.0697534616449895
"YOY",1.6899921431368,-0.199684890427536
"Vermillion",0.0587892956893765,-0.0488342130515975
"Yelloweye",0.533913589547764,-0.195798661717691
